run,quota,acceptable,cashflow,red_biomass,blue_biomass,red_landings,blue_landings
2,1000,1.8,123592.09509564508,2827606.1124729444,2828981.0547543205,68160.28,50000.215000000004
2,1000,1.9,124502.86512169265,2834736.045929226,2833471.755231018,87900.04000000001,46800.159999999996
2,1000,2.0,121464.51244201069,2845225.2774460395,2827650.433338256,68100.0,50000.229999999996
2,1000,9999,100397.5304871384,2825987.8274317565,2700860.771829767,47371.79,48188.835
3,500,0.1,100623.32046433771,2920007.407434526,2911505.910729804,68000.08499999999,16500.120000000003
3,500,0.2,107115.41761754759,2920416.982172616,2912240.0706972787,68000.08499999999,16500.13
3,500,0.3,114862.4317069722,2907921.8707236005,2915378.585897494,88000.10999999999,14000.105
3,500,0.4,116456.0752282115,2891669.620922774,2917127.5592199843,112000.13999999998,11000.080000000002
3,500,0.5,113028.14898406474,2905723.194446242,2915426.635184956,96400.12,13000.095
3,500,0.6,110848.49511822718,2912519.3556809556,2913188.59288655,84900.095,15500.125
3,500,0.7,115803.31316281203,2901366.426444304,2914482.407315328,97500.10999999999,13500.11
3,500,0.8,110821.91507554459,2884768.5246403916,2901388.464077299,97700.06,19500.144999999997
3,500,0.9,113644.87567713484,2863906.41428905,2899532.6512023504,109884.85,20700.155
3,500,1.0,111998.95850956747,2835907.3911808343,2893691.89271119,100400.03,23100.18999999999
3,500,1.1,102546.77181970775,2844928.208020711,2894133.984838912,116200.05,21400.129999999997
3,500,1.2,114772.32589623613,2779624.3032485326,2894623.3653446813,109200.06,21200.155
3,500,1.3,97334.54567813693,2866348.720586437,2890819.2883591354,81500.015,23500.165
3,500,1.4,96875.6479739707,2846991.504385745,2889640.856654671,66184.855,24400.195
3,500,1.5,89722.60507195882,2837129.3903400954,2889243.2643861896,70200.025,23700.17
3,500,1.6,93888.00591044057,2844887.6932885475,2888711.0704947454,72700.02,24500.2
3,500,1.7,85531.7213490003,2871328.79537221,2887397.050923646,63200.015,24000.179999999997
3,500,1.8,83392.02448321378,2890909.6116630007,2887341.0069805514,56800.0,24700.210000000003
3,500,1.9,82566.73368957192,2883253.6654242505,2889541.1091861124,67000.035,23000.165
3,500,2.0,80259.83020471105,2882425.2699528527,2887056.563976697,55600.005000000005,24800.17
3,500,9999,63531.19773354445,2908421.5663095918,2850185.8331521465,50231.3,23960.815
3,1000,0.1,127522.4741562199,2887008.4259076705,2900391.038283926,120000.14,20000.085
3,1000,0.2,125087.58713168465,2893447.883023624,2896523.438413665,111740.135,22000.085
3,1000,0.3,124616.14200608565,2888513.83311368,2894420.2826687787,96000.12,26000.105
3,1000,0.4,123413.40166546304,2909786.782057923,2892552.1257916484,88000.1,28000.12
3,1000,0.5,118660.93853845376,2896007.8656844674,2892999.1224568696,104000.12999999999,24000.09
3,1000,0.6,139496.77060485544,2878904.2222892037,2889361.3331908016,119400.11499999999,25600.1
3,1000,0.7,142049.7246248029,2858977.2515284168,2884379.7947470406,150600.155,21400.064999999995
3,1000,0.8,136747.42515404447,2879928.802921385,2863933.9925118084,124000.07,37100.134999999995
3,1000,0.9,140936.04566600602,2827976.4040443543,2855497.053688169,124400.09,37900.105
3,1000,1.0,128885.09557189145,2857374.187669715,2846619.9252525955,90900.045,45500.175
3,1000,1.1,140467.2536990027,2757993.876601248,2845826.8798264493,117200.05,43100.16
3,1000,1.2,139413.97683895918,2776338.7889406355,2837710.293319775,105600.03,47800.17
3,1000,1.3,126901.74975366323,2839116.6701544416,2834656.195419649,82600.01000000001,48000.215
3,1000,1.4,135332.1039904527,2787948.2390980967,2837032.1327214525,89200.015,49000.189999999995
3,1000,1.5,138705.648597939,2755228.2365262816,2831909.9965754324,97462.08499999999,49000.195
3,1000,1.6,129605.84384611245,2781131.964850481,2831779.1445365846,92376.57,48500.20999999999
3,1000,1.7,121628.79323267903,2838582.929450448,2829163.734383693,82100.005,49400.219999999994
3,1000,1.8,124761.80217217347,2830860.9886308094,2830252.5818199827,74400.005,49400.215000000004
3,1000,1.9,116633.11309987579,2845630.4804687677,2821037.852052251,78100.0,49800.229999999996
3,1000,2.0,118231.56583301211,2866763.8916962766,2823466.555561381,74300.005,49700.21
3,1000,9999,106572.10466901225,2810365.838471682,2706639.8991615707,16189.58,49723.130000000005
4,500,0.1,114589.25898583214,2887617.962587815,2918133.0222279895,116000.14499999999,10500.075
4,500,0.2,106649.17736358017,2915748.015080268,2913796.9357848195,88000.11,14000.115
4,500,0.3,101465.56118447574,2917042.372304856,2912773.41825621,88000.11,14000.1
4,500,0.4,114346.03674742834,2900848.2419636855,2916499.893937758,104000.125,12000.1
4,500,0.5,110064.53677875975,2899190.492159411,2916194.3061841456,112200.13500000001,11000.075
4,500,0.6,106829.4865130512,2901245.533763073,2915438.7154535134,115000.13999999998,11000.085000000001
4,500,0.7,111397.01029682142,2893854.2150594615,2913704.1131658973,119300.125,11500.100000000002
4,500,0.8,110455.96747239101,2903064.784114915,2900846.1156626362,83000.04000000001,21000.174999999996
4,500,0.9,118146.71313322964,2830033.915325346,2905688.6014880086,127400.105,15200.09
