x,y,depth
759521.8100322697,326874.0444081241,-3999.599609375
769509.2769962356,326895.43923843745,-4060.74365234375
779497.4076497348,326917.64389861544,-4186.49609375
789486.226651588,326940.6586644116,-4196.35546875
799475.7586691114,326964.48382168787,-4272.29736328125
809466.028378421,326989.1196664233,-4352.89501953125
819457.0604647361,327014.5665047232,-4385.1484375
829448.879622698,327040.8246528282,-4211.240234375
839441.510556648,327067.8944371243,-4407.84423828125
849434.9779809727,327095.77619415225,-4588.9013671875
859429.3066203801,327124.4702706183,-4735.9462890625
869424.5212102185,327153.9770234046,-4871.98828125
879420.6464967963,327184.2968195802,-4748.24951171875
889417.7072376584,327215.4300364119,-4992.8017578125
899415.7282019355,327247.37706137635,-4892.6494140625
909414.7341706199,327280.1382921713,-4984.9521484375
919414.7499368918,327313.7141367283,-5101.14990234375
929415.8003064229,327348.10501322453,-5034.998046875
939417.9100976866,327383.31135009654,-5069.60009765625
949421.1041422772,327419.33358605223,-5071.13818359375
959425.407285206,327456.172170085,-4872.99853515625
969430.8443852225,327493.82756148756,-5145.71728515625
979437.4403151232,327532.30022986524,-5130.4951171875
989445.219962064,327571.5906551516,-4929.99755859375
999454.20822787,327611.69932762184,-5058.80419921875
1009464.4300293601,327652.6267479089,-5144.94970703125
1019475.910298642,327694.37342701794,-5068.4951171875
1029488.6739834391,327736.9398863428,-5095.748046875
1039502.7460474006,327780.32665768155,-4879.240234375
1049518.151470418,327824.5342832529,-5064.03759765625
1059534.9152489393,327869.563315713,-5592.25146484375
1069553.0623962812,327915.41431817226,-5455.35205078125
1079572.6179429581,327962.0878642127,-5373.74365234375
1089593.6069369828,328009.58453790605,-5161.09912109375
1099616.0544441917,328057.9049338308,-5184.34765625
1109639.9855485647,328107.0496570913,-5134.89990234375
1119665.4253525368,328157.0193233364,-5143.79931640625
1129692.398977331,328207.81455877813,-5121.49951171875
1139720.9315632596,328259.436000211,-5135.548828125
1149751.0482700565,328311.8842950318,-5118.69970703125
1159782.774277194,328365.16010125965,-5092.89697265625
1169816.1347842067,328419.2640875564,-5036.49853515625
1179851.1550110108,328474.19693324703,-5077.99755859375
1189887.8601982258,328529.9593283409,-5061.1005859375
1199926.2756075077,328586.5519735531,-5067.04736328125
1209966.4265218566,328643.975580326,-5098.455078125
1220008.3382459506,328702.23087085166,-5167.88720703125
1230052.0361064812,328761.3185780938,-4825.50048828125
-725015.5318091661,322525.3534253074,-18.300676345825195
-714851.8699446018,322427.42449667375,-18.839553833007812
-704691.2704444781,322330.3508027209,-74.68169403076172
-694533.7064765911,322234.13108678826,-62.6002197265625
