bin,species_code,source,sex,mortality
38,BET,obj_class_6,male,0
38,BET,noa_class_6,female,0
38,BET,noa_class_6,male,0
38,BET,del_class_6,female,0
38,BET,del_class_6,male,0
38,BET,longline,female,0
38,BET,longline,male,0
39,BET,obj_class_1_5,female,0
39,BET,obj_class_1_5,male,0
39,BET,noa_class_1_5,female,0
39,BET,noa_class_1_5,male,0
39,BET,obj_class_6,female,0
39,BET,obj_class_6,male,0
39,BET,noa_class_6,female,0
39,BET,noa_class_6,male,0
39,BET,del_class_6,female,0
39,BET,del_class_6,male,0
39,BET,longline,female,0
39,BET,longline,male,0
40,BET,obj_class_1_5,female,0
40,BET,obj_class_1_5,male,0
40,BET,noa_class_1_5,female,0
40,BET,noa_class_1_5,male,0
40,BET,obj_class_6,female,0
40,BET,obj_class_6,male,0
40,BET,noa_class_6,female,0
40,BET,noa_class_6,male,0
40,BET,del_class_6,female,0
40,BET,del_class_6,male,0
40,BET,longline,female,0
40,BET,longline,male,0
0,YFT,obj_class_1_5,female,0.005574359899122145
0,YFT,obj_class_1_5,male,0.005574359899122145
0,YFT,noa_class_1_5,female,0
0,YFT,noa_class_1_5,male,0
0,YFT,obj_class_6,female,0.013777992519957006
0,YFT,obj_class_6,male,0.013777992519957006
0,YFT,noa_class_6,female,4.118078545915325e-4
0,YFT,noa_class_6,male,4.118078545915325e-4
0,YFT,del_class_6,female,0
0,YFT,del_class_6,male,0
0,YFT,longline,female,0
0,YFT,longline,male,0
1,YFT,obj_class_1_5,female,0.00456357322314963
1,YFT,obj_class_1_5,male,0.00456357322314963
1,YFT,noa_class_1_5,female,0.0013842072593147296
1,YFT,noa_class_1_5,male,0.0013842072593147296
1,YFT,obj_class_6,female,0.018631047218955758
1,YFT,obj_class_6,male,0.018631047218955758
1,YFT,noa_class_6,female,0.004945705150538019
1,YFT,noa_class_6,male,0.004945705150538019
1,YFT,del_class_6,female,0.004256597502728846
1,YFT,del_class_6,male,0.004256597502728846
1,YFT,longline,female,1.8802925908432754e-4
1,YFT,longline,male,1.8802925908432754e-4
2,YFT,obj_class_1_5,female,4.0386975889600453e-4
2,YFT,obj_class_1_5,male,4.0386975889600453e-4
2,YFT,noa_class_1_5,female,4.8186071431339866e-4
2,YFT,noa_class_1_5,male,4.8186071431339866e-4
2,YFT,obj_class_6,female,0.0051627206032836175
2,YFT,obj_class_6,male,0.0051627206032836175
2,YFT,noa_class_6,female,0.0013734795834682994
2,YFT,noa_class_6,male,0.0013734795834682994
2,YFT,del_class_6,female,0.003778152633988176
2,YFT,del_class_6,male,0.003778152633988176
2,YFT,longline,female,3.862863563228764e-4
2,YFT,longline,male,3.862863563228764e-4
3,YFT,obj_class_1_5,female,3.239768905441367e-4
3,YFT,obj_class_1_5,male,3.239768905441367e-4
3,YFT,noa_class_1_5,female,9.855808147679672e-5
3,YFT,noa_class_1_5,male,9.855808147679672e-5
3,YFT,obj_class_6,female,6.305010510129949e-4
3,YFT,obj_class_6,male,6.305010510129949e-4
3,YFT,noa_class_6,female,7.362094792813853e-4
3,YFT,noa_class_6,male,7.362094792813853e-4
3,YFT,del_class_6,female,0.0016623149100517805
3,YFT,del_class_6,male,0.0016623149100517805
3,YFT,longline,female,5.897085951704179e-4
3,YFT,longline,male,5.897085951704179e-4
4,YFT,obj_class_1_5,female,2.414154397463775e-4
4,YFT,obj_class_1_5,male,2.414154397463775e-4
4,YFT,noa_class_1_5,female,1.8017182348555453e-4
4,YFT,noa_class_1_5,male,1.8017182348555453e-4
4,YFT,obj_class_6,female,9.048738608451875e-4
4,YFT,obj_class_6,male,9.048738608451875e-4
4,YFT,noa_class_6,female,0.0012360453773655425
4,YFT,noa_class_6,male,0.0012360453773655425
4,YFT,del_class_6,female,0.007290007667417371
4,YFT,del_class_6,male,0.007290007667417371
4,YFT,longline,female,8.011994412911152e-4
4,YFT,longline,male,8.011994412911152e-4
5,YFT,obj_class_1_5,female,1.5580717426437061e-4
5,YFT,obj_class_1_5,male,1.5580717426437061e-4
5,YFT,noa_class_1_5,female,7.001694294771004e-4
5,YFT,noa_class_1_5,male,7.001694294771004e-4
5,YFT,obj_class_6,female,0.0015980538869223434
5,YFT,obj_class_6,male,0.0015980538869223434
5,YFT,noa_class_6,female,0.004083218514472311
5,YFT,noa_class_6,male,0.004083218514472311
5,YFT,del_class_6,female,0.028029045961637973
5,YFT,del_class_6,male,0.028029045961637973
5,YFT,longline,female,0.0024235964014964356
5,YFT,longline,male,0.0024235964014964356
6,YFT,obj_class_1_5,female,0
6,YFT,obj_class_1_5,male,0
6,YFT,noa_class_1_5,female,1.8735450138702243e-4
6,YFT,noa_class_1_5,male,1.8735450138702243e-4
6,YFT,obj_class_6,female,4.5941365970954403e-4
6,YFT,obj_class_6,male,4.5941365970954403e-4
6,YFT,noa_class_6,female,0.0013374712488478982
6,YFT,noa_class_6,male,0.0013374712488478982
6,YFT,del_class_6,female,0.00943331522467787
6,YFT,del_class_6,male,0.00943331522467787
6,YFT,longline,female,0.0013989471887512195
6,YFT,longline,male,0.0013989471887512195
7,YFT,obj_class_1_5,female,0
7,YFT,obj_class_1_5,male,0
7,YFT,noa_class_1_5,female,3.209767661810531e-4
7,YFT,noa_class_1_5,male,3.209767661810531e-4
7,YFT,obj_class_6,female,1.940567726351247e-4
7,YFT,obj_class_6,male,1.940567726351247e-4
7,YFT,noa_class_6,female,0.0014855854782456761
7,YFT,noa_class_6,male,0.0014855854782456761
7,YFT,del_class_6,female,0.008972465341707607
7,YFT,del_class_6,male,0.008972465341707607
7,YFT,longline,female,0.001549571999881171
7,YFT,longline,male,0.001549571999881171
8,YFT,obj_class_1_5,female,0
8,YFT,obj_class_1_5,male,0
8,YFT,noa_class_1_5,female,0.00030662713956434334
8,YFT,noa_class_1_5,male,3.0668374020002435e-4
8,YFT,obj_class_6,female,1.6208603897232556e-4
8,YFT,obj_class_6,male,1.6211595860975196e-4
8,YFT,noa_class_6,female,3.579400917412646e-4
8,YFT,noa_class_6,male,3.580061642903451e-4
8,YFT,del_class_6,female,0.0035339539824827014
8,YFT,del_class_6,male,0.0035346063188745817
8,YFT,longline,female,0.0016673042741631224
8,YFT,longline,male,0.0016676120436643004
9,YFT,obj_class_1_5,female,0
9,YFT,obj_class_1_5,male,0
9,YFT,noa_class_1_5,female,2.908158946625332e-4
9,YFT,noa_class_1_5,male,2.923907142190047e-4
9,YFT,obj_class_6,female,1.4334167282322924e-4
9,YFT,obj_class_6,male,1.4411789335918486e-4
9,YFT,noa_class_6,female,2.8627211850780216e-4
