"Mean biomass (tons), excluding first ages specified in input"
"Time","smallpelagic1","macrozooplankton","demersal1","demersal2","demersal3","mesopelagic","smallpelagic2","smallpelagic3","largepelagic1","largepelagic2"
134.0,54569.527,560597.3,1311480.0,1780869.1,162014.28,442143.6,655328.9,501992.53,96.27579,0.0
134.25,47037.695,541234.2,1392495.6,1862300.0,162288.52,505570.22,681018.1,458015.78,96.88986,0.0
134.5,37509.52,1254769.9,1458655.5,1909450.5,164319.81,617766.75,695176.1,444935.6,96.06866,0.0
134.75,54064.832,1136038.9,1460250.9,1821897.6,164233.9,490895.3,671422.0,416972.8,96.41193,0.0
135.0,72948.08,499746.6,1477609.5,1759287.5,164137.08,416205.16,719992.9,415590.06,94.86159,0.0
135.25,66752.38,461248.1,1569567.0,1877693.2,162751.36,466105.38,704291.7,378741.0,94.99215,0.0
135.5,55408.86,1029661.6,1632733.9,1951499.8,169969.66,604251.4,698467.06,352617.28,97.12142,0.0
135.75,60999.008,995054.56,1559355.9,1907490.4,166863.88,540617.4,676351.94,360604.5,98.44124,0.0
136.0,58774.383,570332.44,1535397.9,1798809.5,169415.6,493816.47,727654.44,393786.88,98.097374,0.0
136.25,43478.793,517239.88,1550916.1,1839998.9,157922.58,557718.7,704788.3,365523.44,98.66957,0.0
136.5,36843.176,1149778.1,1515183.2,1870433.6,149137.52,680996.06,692925.7,392832.53,97.810875,0.0
136.75,44032.875,1088249.8,1471592.9,1765546.1,142249.1,637072.4,657856.2,366770.56,97.454735,0.0
137.0,57197.05,535266.7,1490848.4,1736246.4,141661.92,567582.94,713845.06,395192.12,96.9757,0.0
137.25,52818.145,467854.06,1510469.9,1876039.4,152815.92,593922.7,708770.2,370399.16,96.59862,0.0
137.5,44811.203,1059421.4,1471302.1,1897730.5,162791.56,692264.5,645191.25,388203.4,97.779854,0.0
137.75,49884.84,1102383.6,1384245.1,1846347.9,150818.47,587394.44,620760.25,391829.97,98.30781,0.0
138.0,53350.64,547250.56,1366821.6,1818340.1,152729.72,460972.1,679614.3,414832.94,96.90795,0.0
138.25,45999.29,480804.62,1466751.5,1883157.6,143419.83,543781.9,666735.8,393320.03,95.86123,0.0
138.5,40401.57,1188051.6,1496515.9,1843843.0,141621.31,643138.3,649976.44,404535.94,96.29847,0.0
138.75,45627.34,1126259.1,1415145.5,1711068.4,138331.95,550722.25,660517.6,367097.34,94.97082,0.0
139.0,53000.867,533798.2,1365447.8,1668453.0,128634.914,471577.4,739576.0,389132.97,92.525276,0.0
116.75,89128.58,267229.44,415960.12,644089.1,29568.592,178768.88,239819.0,179058.39,38.04748,0.0
117.0,289532.62,457813.88,1211209.5,1909719.8,89634.12,498912.84,759753.25,556006.3,112.618675,0.0
