alpha,epsilon,performance
0.03,0.75,-40579.614971245275
0.03,0.76,-42322.496742560135
0.03,0.77,-39992.17371621559
0.03,0.78,-47316.88979326141
0.03,0.79,-45940.56580954659
0.03,0.8,-51619.332617648
0.03,0.81,-47567.99761726537
0.03,0.82,-54284.30975429934
0.03,0.83,-53903.157121308395
0.03,0.84,-56943.93821040142
0.03,0.85,-59499.307505623
0.03,0.86,-63598.653126311634
0.03,0.87,-63390.90570386765
0.03,0.88,-65108.36211292159
0.03,0.89,-66996.59960452755
0.03,0.9,-67420.61237468725
0.03,0.91,-72615.18078155845
0.03,0.92,-73353.47101614688
0.03,0.93,-73193.92645391583
0.03,0.94,-79857.76941411385
0.03,0.95,-81388.5255781975
0.03,0.96,-83952.4694405258
0.03,0.97,-87598.88042604075
0.03,0.98,-90767.97129426511
0.03,0.99,-90809.59916530992
0.03,1.0,-94996.11115800362
0.04,0.0,135349.4850642348
0.04,0.01,179726.3343488723
0.04,0.02,195580.06088268917
0.04,0.03,205034.6824673037
0.04,0.04,213250.89781501936
0.04,0.05,211657.32569407573
0.04,0.06,210292.67907517977
0.04,0.07,204443.64795436358
0.04,0.08,202050.9655071128
0.04,0.09,199263.54154525674
0.04,0.1,191904.57496962836
0.04,0.11,188629.45604890984
0.04,0.12,181958.75767819464
0.04,0.13,176508.62776388973
0.04,0.14,174383.99388361812
0.04,0.15,167257.83927049086
0.04,0.16,162091.6993999635
0.04,0.17,156592.54793540717
0.04,0.18,151397.32687439144
0.04,0.19,148148.07517332627
0.04,0.2,141727.43204930695
0.04,0.21,136352.232618079
0.04,0.22,128452.60662596283
0.04,0.23,128797.44049867307
0.04,0.24,124200.92576908789
0.04,0.25,116422.44309789286
0.04,0.26,113444.6378995206
0.04,0.27,109224.8750597562
0.04,0.28,107558.9797873536
0.04,0.29,97560.11223127368
0.04,0.3,96718.53206058886
0.04,0.31,91924.6138993931
0.04,0.32,90075.55214788174
0.04,0.33,89202.33256731754
0.04,0.34,82388.63083176891
0.04,0.35,80971.10224229326
0.04,0.36,73878.16586824022
0.04,0.37,72155.0858914418
0.04,0.38,71025.18496245678
0.04,0.39,64356.846486235976
0.04,0.4,60706.615477646934
0.04,0.41,57651.60500424661
0.04,0.42,52098.81544457367
0.04,0.43,50924.45906410717
0.04,0.44,50815.819397720494
0.04,0.45,43416.82833041878
0.04,0.46,40796.28867313126
0.04,0.47,37299.953203579
0.04,0.48,34477.30869620529
0.04,0.49,30958.409234462255
0.04,0.5,31291.188409250222
0.04,0.51,24547.67679778829
0.04,0.52,21225.88002404284
0.04,0.53,19513.677217029173
0.04,0.54,18730.902273941745
0.04,0.55,12821.229461226967
0.04,0.56,8575.104603196782
0.04,0.57,9916.539648572332
0.04,0.58,4196.310487054081
0.04,0.59,3584.411455773671
