day,x,y
423,-85.5,-5.5
423,-85.5,-5.5
423,-85.5,-5.5
423,-85.5,-5.5
423,-86.5,-5.5
423,-86.5,-5.5
423,-86.5,-5.5
423,-86.5,-5.5
423,-86.5,-5.5
423,-85.5,-4.5
423,-86.5,-4.5
423,-87.5,-5.5
423,-87.5,-5.5
424,-87.5,-5.5
424,-87.5,-5.5
424,-87.5,-5.5
424,-87.5,-6.5
424,-87.5,-6.5
424,-87.5,-6.5
424,-87.5,-6.5
424,-87.5,-6.5
424,-87.5,-6.5
424,-87.5,-6.5
424,-87.5,-6.5
424,-86.5,-7.5
424,-86.5,-7.5
424,-86.5,-7.5
424,-86.5,-7.5
424,-86.5,-7.5
424,-86.5,-7.5
424,-86.5,-7.5
424,-86.5,-7.5
424,-85.5,-7.5
424,-85.5,-7.5
457,-87.5,-3.5
458,-87.5,-3.5
458,-87.5,-3.5
458,-88.5,-3.5
458,-88.5,-3.5
458,-88.5,-3.5
458,-88.5,-3.5
458,-88.5,-3.5
458,-89.5,-3.5
458,-89.5,-3.5
458,-89.5,-3.5
458,-89.5,-3.5
458,-89.5,-3.5
458,-90.5,-3.5
458,-90.5,-3.5
458,-90.5,-3.5
458,-90.5,-3.5
458,-90.5,-3.5
458,-90.5,-3.5
458,-91.5,-3.5
459,-91.5,-3.5
459,-91.5,-3.5
459,-91.5,-3.5
459,-91.5,-3.5
459,-91.5,-3.5
459,-91.5,-3.5
459,-91.5,-4.5
459,-91.5,-4.5
459,-91.5,-4.5
459,-91.5,-4.5
459,-91.5,-4.5
492,-83.5,-7.5
492,-83.5,-7.5
492,-83.5,-6.5
493,-83.5,-6.5
493,-83.5,-6.5
493,-83.5,-6.5
493,-83.5,-6.5
501,-83.5,-4.5
501,-83.5,-5.5
501,-84.5,-5.5
501,-84.5,-5.5
501,-84.5,-5.5
501,-84.5,-6.5
501,-84.5,-6.5
501,-84.5,-6.5
502,-84.5,-6.5
502,-84.5,-6.5
502,-84.5,-7.5
502,-85.5,-7.5
502,-85.5,-7.5
502,-85.5,-7.5
502,-85.5,-7.5
502,-85.5,-7.5
502,-85.5,-8.5
502,-86.5,-8.5
502,-86.5,-8.5
541,-85.5,-3.5
541,-85.5,-3.5
541,-85.5,-3.5
541,-85.5,-3.5
542,-84.5,-2.5
572,-85.5,-1.5
572,-86.5,-1.5
572,-86.5,-1.5
572,-86.5,-1.5
572,-86.5,-1.5
572,-86.5,-1.5
572,-86.5,-1.5
573,-87.5,-1.5
573,-87.5,-0.5
573,-87.5,-1.5
573,-87.5,-1.5
574,-87.5,-1.5
574,-88.5,-1.5
574,-88.5,-1.5
574,-88.5,-2.5
574,-88.5,-2.5
575,-89.5,-3.5
575,-89.5,-4.5
594,-95.5,-2.5
594,-95.5,-2.5
594,-95.5,-2.5
594,-95.5,-2.5
594,-95.5,-2.5
594,-95.5,-1.5
594,-95.5,-1.5
594,-95.5,-1.5
594,-95.5,-1.5
594,-95.5,-1.5
600,-95.5,2.5
610,-99.5,5.5
612,-101.5,0.5
634,-82.5,2.5
634,-82.5,1.5
635,-83.5,1.5
637,-81.5,1.5
637,-81.5,1.5
637,-81.5,1.5
637,-81.5,1.5
638,-81.5,1.5
638,-82.5,0.5
640,-82.5,0.5
640,-82.5,0.5
644,-82.5,0.5
675,-88.5,-6.5
675,-88.5,-6.5
675,-87.5,-6.5
675,-87.5,-6.5
675,-87.5,-6.5
675,-87.5,-6.5
676,-87.5,-5.5
676,-87.5,-5.5
676,-87.5,-5.5
676,-89.5,-5.5
676,-86.5,-5.5
676,-86.5,-5.5
676,-86.5,-5.5
676,-86.5,-4.5
676,-86.5,-4.5
676,-86.5,-4.5
676,-85.5,-4.5
676,-85.5,-4.5
448,-86.5,-4.5
457,-72.5,-17.5
460,-73.5,-18.5
469,-75.5,-15.5
469,-76.5,-14.5
470,-79.5,-10.5
471,-79.5,-9.5
493,-71.5,-17.5
528,-95.5,-1.5
528,-95.5,-1.5
528,-95.5,-0.5
528,-95.5,-0.5
528,-95.5,-0.5
528,-95.5,-0.5
528,-95.5,-0.5
528,-95.5,-0.5
528,-95.5,-0.5
528,-95.5,-0.5
528,-95.5,-0.5
528,-95.5,0.5
528,-95.5,0.5
528,-95.5,0.5
528,-95.5,0.5
528,-95.5,0.5
528,-95.5,0.5
528,-96.5,1.5
528,-96.5,1.5
528,-96.5,1.5
528,-96.5,1.5
528,-96.5,2.5
542,-106.5,2.5
542,-106.5,2.5
542,-107.5,2.5
542,-107.5,2.5
542,-107.5,2.5
543,-107.5,3.5
543,-107.5,3.5
543,-104.5,3.5
548,-87.5,1.5
548,-87.5,1.5
699,-99.5,2.5
700,-99.5,2.5
700,-99.5,2.5
729,-108.5,2.5
729,-108.5,2.5
729,-108.5,2.5
729,-110.5,0.5
729,-110.5,0.5
729,-110.5,0.5
729,-110.5,0.5
729,-110.5,0.5
729,-111.5,-0.5
729,-111.5,-0.5
730,-111.5,-0.5
730,-111.5,-0.5
730,-111.5,-1.5
713,-88.5,-2.5
713,-88.5,-2.5
713,-88.5,-2.5
713,-88.5,-2.5
713,-88.5,-2.5
713,-88.5,-2.5
713,-88.5,-3.5
713,-89.5,-3.5
713,-89.5,-3.5
713,-89.5,-3.5
713,-89.5,-3.5
713,-89.5,-3.5
713,-89.5,-3.5
713,-89.5,-3.5
714,-89.5,-3.5
714,-89.5,-3.5
714,-89.5,-4.5
714,-92.5,-4.5
714,-92.5,-4.5
714,-92.5,-4.5
714,-92.5,-4.5
714,-93.5,-4.5
714,-93.5,-3.5
714,-93.5,-3.5
715,-93.5,-3.5
715,-93.5,-3.5
715,-93.5,-3.5
715,-93.5,-3.5
715,-94.5,-3.5
715,-94.5,-3.5
715,-94.5,-3.5
715,-94.5,-3.5
715,-94.5,-3.5
715,-94.5,-3.5
715,-94.5,-2.5
715,-94.5,-2.5
715,-94.5,-2.5
715,-94.5,-2.5
715,-94.5,-2.5
716,-94.5,-2.5
716,-94.5,-2.5
716,-95.5,-2.5
716,-96.5,-1.5
716,-97.5,-1.5
716,-97.5,-1.5
716,-97.5,-1.5
716,-97.5,-1.5
717,-98.5,-1.5
717,-98.5,-1.5
717,-98.5,-1.5
439,-95.5,-0.5
439,-95.5,-0.5
439,-95.5,-0.5
454,-97.5,-0.5
454,-98.5,-0.5
454,-98.5,-0.5
454,-98.5,-0.5
454,-98.5,-0.5
454,-98.5,-0.5
454,-98.5,-0.5
454,-98.5,-0.5
454,-98.5,0.5
454,-98.5,0.5
454,-99.5,0.5
454,-99.5,0.5
455,-99.5,0.5
455,-99.5,0.5
455,-99.5,0.5
456,-100.5,2.5
456,-100.5,2.5
568,-95.5,1.5
569,-95.5,1.5
569,-95.5,1.5
569,-95.5,-0.5
569,-95.5,-0.5
569,-95.5,-1.5
569,-95.5,-1.5
569,-95.5,-1.5
569,-95.5,-1.5
569,-95.5,-1.5
569,-95.5,-1.5
569,-95.5,-1.5
569,-95.5,-1.5
569,-95.5,-2.5
569,-95.5,-2.5
277,-85.5,1.5
277,-85.5,0.5
354,-102.5,4.5
365,-95.5,-1.5
368,-86.5,-4.5
368,-86.5,-4.5
368,-86.5,-4.5
370,-84.5,1.5
370,-84.5,1.5
388,-96.5,2.5
389,-96.5,2.5
390,-96.5,2.5
415,-86.5,-2.5
415,-86.5,-2.5
415,-85.5,-2.5
415,-85.5,-2.5
415,-85.5,-2.5
415,-85.5,-2.5
415,-85.5,-2.5
415,-85.5,-2.5
415,-85.5,-2.5
443,-99.5,-0.5
443,-99.5,-0.5
443,-99.5,-0.5
443,-99.5,-0.5
444,-99.5,1.5
444,-99.5,1.5
444,-99.5,1.5
473,-101.5,5.5
473,-101.5,5.5
473,-101.5,5.5
524,-95.5,3.5
528,-94.5,4.5
552,-86.5,1.5
553,-86.5,1.5
553,-86.5,2.5
553,-87.5,2.5
553,-86.5,2.5
555,-84.5,1.5
555,-84.5,1.5
555,-84.5,1.5
555,-84.5,1.5
556,-86.5,2.5
557,-85.5,1.5
557,-85.5,1.5
557,-85.5,1.5
558,-85.5,1.5
559,-85.5,1.5
568,-85.5,1.5
568,-85.5,1.5
569,-85.5,1.5
569,-85.5,1.5
569,-85.5,1.5
570,-85.5,1.5
573,-86.5,1.5
573,-86.5,1.5
573,-86.5,1.5
573,-86.5,1.5
663,-102.5,4.5
668,-96.5,4.5
668,-96.5,4.5
691,-101.5,3.5
697,-102.5,3.5
697,-102.5,2.5
275,-99.5,-3.5
275,-99.5,-3.5
275,-99.5,-3.5
275,-99.5,-3.5
275,-100.5,-3.5
275,-100.5,-3.5
275,-100.5,-3.5
275,-100.5,-3.5
275,-100.5,-3.5
275,-100.5,-3.5
275,-100.5,-3.5
275,-101.5,-3.5
275,-101.5,-3.5
275,-101.5,-3.5
275,-101.5,-3.5
275,-101.5,-3.5
275,-101.5,-3.5
275,-101.5,-3.5
275,-102.5,-3.5
275,-102.5,-3.5
275,-102.5,-3.5
275,-102.5,-3.5
275,-102.5,-3.5
275,-102.5,-3.5
275,-103.5,-3.5
275,-103.5,-3.5
275,-103.5,-3.5
275,-103.5,-3.5
275,-103.5,-3.5
275,-103.5,-3.5
