lon,lat,value
-126.5,-39.5,3.734034054722096e-4
-124.5,-39.5,3.704999145706523e-4
-122.5,-39.5,3.7010270182523077e-4
-120.5,-39.5,3.708604198565012e-4
-118.5,-39.5,3.714267347057149e-4
-116.5,-39.5,3.726013445992734e-4
-114.5,-39.5,3.7447636393925953e-4
-112.5,-39.5,3.72736591706992e-4
-110.5,-39.5,3.6479467063233405e-4
-108.5,-39.5,3.495847878133644e-4
-106.5,-39.5,3.3317263484872504e-4
-104.5,-39.5,3.241641805530804e-4
-102.5,-39.5,3.1875008958099493e-4
-100.5,-39.5,3.1660036936222966e-4
-98.5,-39.5,3.1224578129705256e-4
-96.5,-39.5,3.087713078787378e-4
-94.5,-39.5,3.0617475933732667e-4
-92.5,-39.5,3.048531755416649e-4
-90.5,-39.5,3.039533817779359e-4
-88.5,-39.5,3.053194812918391e-4
-86.5,-39.5,3.088489006484622e-4
-84.5,-39.5,3.127717870913667e-4
-82.5,-39.5,3.1529036829713945e-4
-80.5,-39.5,3.1858450263424186e-4
-78.5,-39.5,3.376255896854725e-4
-170.5,-37.5,6.240630591884828e-4
-168.5,-37.5,5.315339838261865e-4
-166.5,-37.5,4.787174815517294e-4
-164.5,-37.5,4.5029645725644857e-4
-162.5,-37.5,4.3052266165189795e-4
-160.5,-37.5,4.115596571873561e-4
-158.5,-37.5,3.959516396145613e-4
-156.5,-37.5,3.8200289141528544e-4
-154.5,-37.5,3.7142140434463095e-4
-152.5,-37.5,3.619774163292858e-4
-150.5,-37.5,3.5739938529002314e-4
-148.5,-37.5,3.5676400624881936e-4
-146.5,-37.5,3.5955691376745723e-4
-144.5,-37.5,3.6432822081834676e-4
-142.5,-37.5,3.6748027942299066e-4
-140.5,-37.5,3.633889535698341e-4
-138.5,-37.5,3.514944400940147e-4
-136.5,-37.5,3.389775133201687e-4
-134.5,-37.5,3.268583755469965e-4
-132.5,-37.5,3.1448654984568374e-4
-130.5,-37.5,3.040826070182678e-4
-128.5,-37.5,2.969292624436418e-4
-126.5,-37.5,2.939993214260032e-4
-124.5,-37.5,2.9559047742869844e-4
-122.5,-37.5,2.97804968737824e-4
-120.5,-37.5,2.9821197782253485e-4
-118.5,-37.5,2.9658846508742205e-4
-116.5,-37.5,2.95325025446719e-4
-114.5,-37.5,2.9641100728247134e-4
-112.5,-37.5,2.9545713196331246e-4
-110.5,-37.5,2.8146487649248676e-4
-108.5,-37.5,2.6702904854119077e-4
-106.5,-37.5,2.5909384084022227e-4
-104.5,-37.5,2.545033050619843e-4
-102.5,-37.5,2.520879311719013e-4
-100.5,-37.5,2.499544613512514e-4
-98.5,-37.5,2.4759089280835167e-4
-96.5,-37.5,2.471266039515606e-4
-94.5,-37.5,2.4773576337878397e-4
-92.5,-37.5,2.479156126430318e-4
-90.5,-37.5,2.4825606424610017e-4
-88.5,-37.5,2.513717611443229e-4
-86.5,-37.5,2.5725336800261247e-4
-84.5,-37.5,2.6618834975358676e-4
-82.5,-37.5,2.772348460000978e-4
-80.5,-37.5,2.9308117393248793e-4
-78.5,-37.5,3.298496301234816e-4
-170.5,-35.5,6.440747905867147e-4
-168.5,-35.5,5.425355609757794e-4
-166.5,-35.5,4.891212515025697e-4
-164.5,-35.5,4.5592312879111347e-4
-162.5,-35.5,4.267762245672526e-4
-160.5,-35.5,4.0108446039799133e-4
-158.5,-35.5,3.790421207416479e-4
-156.5,-35.5,3.5906142068875324e-4
-154.5,-35.5,3.42944368038825e-4
-152.5,-35.5,3.293734992212554e-4
-150.5,-35.5,3.1880538127245466e-4
-148.5,-35.5,3.1192930191248055e-4
-146.5,-35.5,3.085758132843896e-4
-144.5,-35.5,3.06710273343304e-4
-142.5,-35.5,3.049936953849422e-4
-140.5,-35.5,2.997011078328075e-4
-138.5,-35.5,2.896366081617684e-4
-136.5,-35.5,2.8119083830724785e-4
-134.5,-35.5,2.729216906875622e-4
-132.5,-35.5,2.647244020978403e-4
-130.5,-35.5,2.577638725306393e-4
-128.5,-35.5,2.526668371983781e-4
-126.5,-35.5,2.502701627912328e-4
-124.5,-35.5,2.4947873382770186e-4
-122.5,-35.5,2.4916651873199697e-4
-120.5,-35.5,2.47218891230219e-4
-118.5,-35.5,2.431662032917303e-4
-116.5,-35.5,2.3959957225218892e-4
-114.5,-35.5,2.365318341973402e-4
-112.5,-35.5,2.3016447297411074e-4
-110.5,-35.5,2.213437194205268e-4
-108.5,-35.5,2.1454435404101729e-4
-106.5,-35.5,2.1037654470949712e-4
