lon,lat,value
-148.5,-43.5,3.587858227547258e-4
-146.5,-43.5,3.339838294778019e-4
-144.5,-43.5,3.1126290559768677e-4
-142.5,-43.5,2.9060980887152255e-4
-140.5,-43.5,2.72015982773155e-4
-138.5,-43.5,2.554055827204138e-4
-136.5,-43.5,2.406249550404027e-4
-134.5,-43.5,2.2761823493056e-4
-132.5,-43.5,2.1631683921441436e-4
-130.5,-43.5,2.0665831107180566e-4
-128.5,-43.5,1.985272392630577e-4
-126.5,-43.5,1.9177717331331223e-4
-124.5,-43.5,1.8628299585543573e-4
-122.5,-43.5,1.8194563745055348e-4
-120.5,-43.5,1.7864847905002534e-4
-118.5,-43.5,1.7628796922508627e-4
-116.5,-43.5,1.7477945948485285e-4
-114.5,-43.5,1.7399180796928704e-4
-112.5,-43.5,1.7372070578858256e-4
-110.5,-43.5,1.737616112222895e-4
-108.5,-43.5,1.7401696823071688e-4
-106.5,-43.5,1.7440553347114474e-4
-104.5,-43.5,1.7479786765761673e-4
-102.5,-43.5,1.750432711560279e-4
-100.5,-43.5,1.749974035192281e-4
-98.5,-43.5,1.745168847264722e-4
-96.5,-43.5,1.7352882423438132e-4
-94.5,-43.5,1.7201012815348804e-4
-92.5,-43.5,1.6995117766782641e-4
-90.5,-43.5,1.6742337902542204e-4
-88.5,-43.5,1.6455483273603022e-4
-86.5,-43.5,0.00016152921307366341
-84.5,-43.5,1.5858220285736024e-4
-82.5,-43.5,1.5600203187204897e-4
-80.5,-43.5,1.5409883053507656e-4
-78.5,-43.5,1.531408488517627e-4
-76.5,-43.5,1.531509042251855e-4
-178.5,-41.5,0.001084892195649445
-176.5,-41.5,0.0010667063761502504
-174.5,-41.5,0.0010312654776498675
-172.5,-41.5,9.877532720565796e-4
-170.5,-41.5,9.374647634103894e-4
-168.5,-41.5,8.835521875880659e-4
-166.5,-41.5,8.293557912111282e-4
-164.5,-41.5,7.761508459225297e-4
-162.5,-41.5,7.243079016916454e-4
-160.5,-41.5,6.745976279489696e-4
-158.5,-41.5,6.277240463532507e-4
-156.5,-41.5,5.838916404172778e-4
-154.5,-41.5,5.430805031210184e-4
-152.5,-41.5,5.051945918239653e-4
-150.5,-41.5,4.7008125693537295e-4
-148.5,-41.5,4.376186989247799e-4
-146.5,-41.5,4.077036282978952e-4
-144.5,-41.5,3.8024503737688065e-4
-142.5,-41.5,3.5521603422239423e-4
-140.5,-41.5,3.326763689983636e-4
-138.5,-41.5,3.126492665614933e-4
-136.5,-41.5,2.9500480741262436e-4
-134.5,-41.5,2.796664193738252e-4
-132.5,-41.5,2.664718485902995e-4
-130.5,-41.5,2.553007216192782e-4
-128.5,-41.5,2.4601799668744206e-4
-126.5,-41.5,2.3842394875828177e-4
-124.5,-41.5,2.323710941709578e-4
-122.5,-41.5,2.277899329783395e-4
-120.5,-41.5,2.245543000753969e-4
-118.5,-41.5,2.2249974426813424e-4
-116.5,-41.5,2.2150648874230683e-4
-114.5,-41.5,2.2139969223644584e-4
-112.5,-41.5,2.2191139578353614e-4
-110.5,-41.5,2.2277963580563664e-4
-108.5,-41.5,2.2386143973562866e-4
-106.5,-41.5,2.2500571503769606e-4
-104.5,-41.5,2.260631590615958e-4
-102.5,-41.5,2.2685206204187125e-4
-100.5,-41.5,2.271544944960624e-4
-98.5,-41.5,2.267093223053962e-4
-96.5,-41.5,2.253468701383099e-4
-94.5,-41.5,2.2308100597001612e-4
-92.5,-41.5,2.199926966568455e-4
-90.5,-41.5,2.1624559303745627e-4
-88.5,-41.5,2.1201852359808981e-4
-86.5,-41.5,2.0755862351506948e-4
-84.5,-41.5,2.0319991745054722e-4
-82.5,-41.5,1.9939099729526788e-4
-80.5,-41.5,1.967028947547078e-4
-78.5,-41.5,1.957527274498716e-4
-76.5,-41.5,1.9680529658216983e-4
-178.5,-39.5,0.0014851531013846397
-176.5,-39.5,0.0014116773381829262
-174.5,-39.5,0.0013403204502537847
