bet,skj,yft
0,80,5
0,40,0
0,0.01,0
0,12,0
0,25,0
0,12,0
0,134,54
0,3,2
0,0.01,0
0,30,0
0,8,27
0,37,8
0,50,0
0,10,0
0,10,2
0,0.01,0
0,0.01,0
0,0,0.01
0,8,0
0,20,0
0,54,2
0,5,0
0,28,0
0,20,0
0,85,0
0,15,0
0,0.01,0
0,15,0
0,80,0
0,20,0
0,47,3
0,60,0
0,6,0
0,24,16
0,0,0
0,3,2
0,0,4
0,2,78
0,0,17
0,0,8
0,0,40
0,0,0
0,27,3
0,20,2
0,10,0
0,6,4
0,30,0
0,7,0
0,0,0
0,10,0
0,2,68
0,30,0
0,9,0
0,10,0
0,21,0
0,15,0
0,0,0
0,5,0
0,45,0
0,0,0
0,10,0
0,5,0
0,10,20
0,8,0
0,16,0
0,2,0
0,75,75
0,10,0
0,0,0
0,10,2
0,0,0
0,8,0
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
6,4,5
35,32,32
0,0,0
0,0,0
0,0,0
0,0,0
0,20,0
0,8,0
0,8,0
0,124,0
0,82,0
0,7,0
0,15,0
0,0,0
0,50,0
0,0,25
0,4,0
0,0,0
0,128,0
0,17,0
0,31,0
0,125,0
0,30,0
0,23,0
0,19,0
0,263,0
0,37,0
0,0,0
0,0,0
0,10,0
0,1,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,35,0
0,16,0
0,32,0
0,12,0
0,27,0
0,2,0
0,38,0
0,20,0
0,45,0
0,150,0
0,80,0
0,35,0
0,20,0
0,25,0
0,48,0
0,98,0
0,0.01,0
0,9,0
0,0.01,0
0,3,0
0,3,0
0,0.01,0
0,4,0
0,46,0
0,30,0
0,20,0
0,39,0
0,28,0
0,19,0
0,8,0
0,58,0
0,95,0
0,0.01,0
0,13,0
0,70,0
0,0.01,0
0,0.01,0
0,0.01,0
0,22,18
0,0.01,0
0,0.01,0
0,0.01,0
0,0.01,0
0,0.01,0
0,0.01,0
0,0.01,0
0,0.01,0
0,9,0
0,0.01,0
0,0,0
0,0,0
0,23,0
0,20,0
0,0,0
0,6,0
0,25,0
0,60,0
0,12,0
0,102,0
0,7,0
0,25,0
0,0,0
0,38,0
0,45,0
0,15,0
0,15,0
0,30,0
0,32,0
0,0,0
0,15,0
0,30,0
0,25,0
0,3,0
0,10,0
0,10,0
0,7,0
0,0,1
0,57,0
0,0,0
0,9,0
0,5,0
0,40,0
0,11,0
0,49,0
0,0.01,0
0,0,35
0,23,0
0,25,0
0,30,0
0,120,0
0,0.01,0
0,50,0
0,15,0
0,13,0
0,100,0
0,30,0
0,45,0
0,55,0
0,27,0
0,0.01,0
0,12,0
0,26,0
0,15,0
0,24,0
0,0,0.01
0,20,0
0,17,3
0,52,0
0,75,3
0,10,0
0,10,0
0,10,0
0,12,0
0,3,0
0,5,0
0,0.01,0
0,0.01,0
0,0.01,0
0,180,0
0,100,0
0,0.01,0
0,0.01,0
0,200,0
0,3,0
0,0.01,0
0,150,0
0,0.01,0
0,70,0
0,50,15
0,110,0
0,35,15
0,0,0
0,12,0
0,15,0
0,0,0
0,0,0
0,26,18
0,30,0
0,15,0
0,7,0
0,0,0
0,4,6
0,7,11
0,40,0
0,0,0
0,0,0
0,0,0
0,2,0
0,0,0
0,7,0
0,25,0
0,17,0
0,2,0
0,45,0
0,9,0
0,7,0
0,5,0
0,13,0
0,22,0
0,0,0
0,24,16
0,13,5
0,14,0
0,60,1
0,12,0
0,16,0
0,51,0
0,51,0
0,30,0
0,27,0
0,49,0
0,25,0
0,16,0
0,45,0
0,127,0
0,65,0
0,19,0
0,11,0
0,45,0
0,51,0
0,33,0
0,0,0
0,131,10
0,145,0
0,80,30
0,7,39
0,51,46
0,23,24
0,9,5
0,0,0
0,0,0
0,95,10
0,12,20
0,25,10
0,48,0
0,50,15
0,50,35
0,36,10
0,0,0
0,54,0
0,118,0
0,0,5
0,0,0
0,20,0
0,20,10
0,25,0
0,25,0
0,8,0
0,50,20
0,0,0
0,1,0
0,20,0
0,40,0
0,10,0
0,0,0
0,23,0
0,105,0
0,12,0
0,13,0
0,1,0
0,0,0
0,10,0
0,4,0
0,5,0
0,5,0
0,11,0
0,5,0
0,0,0
0,13,0
0,16,8
0,15,0
0,2,0
0,0,0
0,10,0
4,46,0
0,7,0
0,28,0
0,113,0
0,8,0
0,1,0
0,10,12
0,10,12
0,3,13
0,15,11
0,22,15
0,13,8
0,13,8
0,2,0
0,0,14
0,31,0
0,16,0
0,37,0
0,0.01,0
0,15,0
0,18,0
0,0.01,0
0,0,33
0,40,0
0,140,20
0,34,0
0,11,0
0,0.01,0
0,70,0
0,0.01,0
0,89,4
0,37,0
0,30,0
0,34,0
0,15,0
0,0,0
0,15,0
0,16,0
0,7,0
0,0.01,0
0,65,0
0,0.01,0
0,0.01,0
0,15,0
0,15,0
0,10,0
0,38,0
0,45,0
0,55,0
0,40,0
0,50,0
0,80,0
0,18,0
0,25,0
0,55,20
0,10,10
0,10,0
0,210,25
0,42,8
0,24,3
0,25,5
0,10,2
0,0,15
0,0,0
0,0,0
0,0,0
0,0,20
0,0,10
0,0,4
0,0,0
0,115,0
0,0,0
0,0,0
0,100,0
0,0,0
0,100,0
0,0,0
0,0,0
0,160,0
0,0,0
0,0,0
0,0,0
0,0,0
0,25,15
0,12,8
0,0,0
0,0,0
0,22,0
0,25,0
0,0,0
0,0,0
0,4,0
0,0,0
0,0,0
0,25,0
0,33,0
0,12,0
0,3,0
0,0,0
0,5,0
0,0,0
0,90,0
0,6,0
0,0,0
0,0,0
0,5,0
0,91,0
0,34,0
0,4,0
0,0,0
0,0,0
0,40,0
0,5,0
0,0,0
0,4,0
0,0,0
0,14,0
0,10,0
0,34,0
0,0,0
0,0,0
0,0,0
0,33,0
0,11,0
0,1,0
0,20,5
0,0,0
0,0,0
0,0,0
0,3,0
0,2,6
0,3,0
0,1,3
0,20,0
0,0,0
0,20,0
0,0,0
0,40,70
0,0,0
0,4,4
0,6,0
0,13,0
0,0,0
0,0,0
0,3,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,8
0,0,0
0,0,7
0,5,12
0,0,5
0,0,0
0,35,0
0,9,0
0,35,0
0,24,0
0,3,0
0,58,0
0,0,0
0,0,0
0,10,0
0,11,0
0,5,0
0,0,0
0,80,0
0,18,0
0,24,0
0,7,0
0,8,0
0,3,0
0,13,0
0,5,0
0,1,0
0,85,0
0,8,0
0,40,0
0,0,0
0,2,0
0,13,0
0,25,0
0,0,0
0,0,0
0,0,0
0,33,0
0,36,0
0,100,0
0,45,30
0,40,25
0,0,0
0,0,0
0,15,0
0,100,0
0,430,15
0,15,0
0,10,0
0,27,0
0,15,0
0,5,0
0,85,0
0,100,0
0,105,0
0,50,0
0,110,0
0,45,0
0,10,0
0,10,0
0,0.01,0
0,30,0
0,0.01,0
0,0.01,0
0,0,44
0,10,0
0,10,0
0,50,0
0,26,0
0,23,0
0,0,5
0,0,0
0,45,0
0,0,0
0,0,0
0,30,0
0,71,15
0,6,0
0,0,0
0,30,0
0,15,0
0,11,0
0,25,0
0,110,45
0,44,90
0,12,0
0,27,0
0,40,0
0,82,0
0,9,0
0,0,0
0,0,0
0,0,0
0,0,0
0,5,0
0,0,0
0,0,0
0,10,0
0,0,0
0,2,0
0,4,0
0,0,0
0,3,0
0,8,0
0,5,0
0,31,0
0,0,0
0,21,0
0,0,0
0,26,0
0,5,0
0,37,0
0,14,0
0,3,0
0,24,0
0,8,0
0,0,0
0,66,0
0,13,0
0,74,0
0,32,0
46,87,12
0,0,0
0,0,0
0,0,0
0,5,0
0,0,0
0,0,0
0,52,0
0,10,0
0,0,0
0,12,0
0,0,0
0,0,0
0,10,0
0,4,0
0,0,0
0,80,0
0,70,0
0,0,0
0,18,0
0,10,0
0,107,0
0,40,1
0,0.01,0
0,0,0.01
0,19,0
0,15,0
0,34,0
0,37,0
0,3,0
0,12,0
0,0.01,0
0,34,8
0,58,40
0,30,16
0,0,0
0,0,15
0,0,0
